headline,source,sentiment,score
Kings speech was a high stakes moment of US visit Palace says,BBC,Neutral,0.0
Airlines can cancel flights in advance over fuel shortages under new plans,BBC,Negative,-0.3818
Germany says US troop withdrawal foreseeable as Trump warns of more cuts,BBC,Negative,-0.4201
The Iran war has strengthened Ukraine in surprising ways Could a ceasefire with Russia be closer,BBC,Neutral,0.0
From beds to LED masks is the red light craze giving us more than just a warm glow,BBC,Positive,0.4019
Man charged with murder and sexual assault of 5yearold Australian girl,BBC,Negative,-0.8834
Miami race brought forward because of storm threat,BBC,Negative,-0.5267
Musks AI told me people were coming to kill me I grabbed a hammer and prepared for war,BBC,Negative,-0.8271
Laufey on making jazz cool again and the fish that brought out her inner rage,BBC,Negative,-0.3182
The clandestine network smuggling Starlink tech into Iran to beat internet blackout,BBC,Negative,-0.4767
What death doulas can teach us about dying,BBC,Negative,-0.5994
What would it cost England and Scotland fans to go to World Cup,BBC,Neutral,0.0
Celebrity Traitors lineup announced  21 famous faces set to enter castle,BBC,Neutral,0.0
Winners losers and a PM on the brink  what to expect in next weeks elections,BBC,Negative,-0.0772
The Papers 7m tax bill for William and Traitors take their places,BBC,Neutral,0.0
Struggling High Streets fuel sense of neglect for voters ahead of local elections,BBC,Negative,-0.7003
Thirteen killed in Israeli strikes on southern Lebanon health ministry says,BBC,Negative,-0.7906
Four injured in Brixton driveby shooting,BBC,Negative,-0.4019
How we reported in 30C temperatures in Canadas Arctic,BBC,Neutral,0.0
Welsh nans befriend pro wrestler on Vegas flight after royal rumble over seats,BBC,Neutral,0.0
Rare 400yearold gown to go on display,BBC,Neutral,0.0
Dreams do come true The singer joining femaleled soundtrack for Devil Wears Prada,BBC,Neutral,0.0258
Creating Roo the missing WinniethePooh toy for Camillas US visit,BBC,Neutral,0.0
The Week The Price Of The Iran War,BBC,Negative,-0.5994
LIVE at Maida Vale studios How popular is Donald Trump in the US,BBC,Positive,0.4215
Emma Stone and Ryan Gosling star in an awardwinning musical,BBC,Neutral,0.0
I completely blew it  Wu into final as Allen misses simple black to win,BBC,Positive,0.4404
Miami race brought forward by three hours because of storm threat,BBC,Negative,-0.5267
Is it advantage Arsenal in dramatic title race,BBC,Positive,0.25
Has muchmaligned Gyokeres proved his critics wrong,BBC,Negative,-0.6486
Three red cards for hair pulling in 2026  is it time to change law,BBC,Neutral,0.0
Heartbroken Allen loses semifinal after fluffing winning pot,BBC,Negative,-0.4939
Iran war Whats happening on day 65 as Trump reviews new plan to end war,AlJazeera,Negative,-0.8316
China blocks US sanctions against five teapot refineries,AlJazeera,Negative,-0.2263
Taiwan leader visits Eswatini despite Chinas attempts to block trip,AlJazeera,Negative,-0.4404
Joel Embiid 76ers knock out secondseeded Celtics in NBA Playoffs,AlJazeera,Neutral,0.0
In Yemen Starlink internet brings opportunities  for some,AlJazeera,Positive,0.3818
Teen F1 leader Antonelli takes Miami pole as race start time changed,AlJazeera,Neutral,0.0
Carlos Prates punishes Jack Della Maddalena at UFC Fight Night Australia,AlJazeera,Negative,-0.6908
Millions of jobs lost as Iranians battle Operation Economic Fury,AlJazeera,Negative,-0.8225
US approves 86bn in arms sales to Middle East allies,AlJazeera,Positive,0.4019
UAE lifts all air traffic restrictions introduced since Iran war,AlJazeera,Negative,-0.5994
Trump expresses doubt that Irans peace proposal is acceptable,AlJazeera,Positive,0.5106
Iran war live Trump to review 14point plan Israel pounds Lebanon,AlJazeera,Negative,-0.5994
Philippines volcano erupts blanketing ash across the sky,AlJazeera,Neutral,0.0
The rise of political violence under Trump,AlJazeera,Negative,-0.6249
Why are maritime laws failing to secure the seas,AlJazeera,Negative,-0.2263
Timmy the humpback whale escapes to the North Sea,AlJazeera,Positive,0.128
Spirit Airlines collapses amid rising fuel costs from war on Iran,AlJazeera,Negative,-0.6597
At least six dead in heavy rains in northeast Brazil thousands displaced,AlJazeera,Negative,-0.6486
Khartoum drone strike kills five in Sudan NGO reports,AlJazeera,Negative,-0.6124
Ukraine eyes Belarus border activities as Russian strikes persist,AlJazeera,Negative,-0.3612
Syria becomes alternative energy corridor for oil as Hormuz effectively blo,AlJazeera,Positive,0.6124
Israels expanding orange line tightens deadly nogo zones in Gaza,AlJazeera,Neutral,0.0
Arsenal ease past Fulham to pull six points clear of Manchester City,AlJazeera,Positive,0.6249
Spain demands Israel release arrested Gaza flotilla crew member,AlJazeera,Negative,-0.4767
Devastation of Southern Lebanon continues under ceasefire,AlJazeera,Negative,-0.4215
